"","Var.1","Library","City.ortown","Image","Dategranted","Grantamount","Location","Notes","state","Municipality","Status","Town"
"824",31,"Hudson","Hudson",NA,"Mar 27, 1903","$10,000","205 S. Market St.41°51′14″N 84°21′13″W﻿ / ﻿41.853843°N 84.353504°W﻿ / 41.853843; -84.353504","","Michigan",NA,NA,NA
"825",32,"Iron Mountain","Iron Mountain",NA,"Mar 12, 1901","$17,500","300 Ludington St.","","Michigan",NA,NA,NA
"826",33,"Ironwood","Ironwood",NA,"Apr 21, 1900","$17,000","235 E. Aurora St.46°27′08″N 90°10′20″W﻿ / ﻿46.452208°N 90.172282°W﻿ / 46.452208; -90.172282","","Michigan",NA,NA,NA
"827",34,"Ishpeming","Ishpeming",NA,"Mar 12, 1901","$25,000","317 Main St.46°29′29″N 87°40′10″W﻿ / ﻿46.491480°N 87.669479°W﻿ / 46.491480; -87.669479","","Michigan",NA,NA,NA
"828",35,"Jackson","Jackson",NA,"Mar 14, 1901","$70,000","244 W. Michigan Ave.42°14′53″N 84°24′40″W﻿ / ﻿42.248056°N 84.411111°W﻿ / 42.248056; -84.411111","","Michigan",NA,NA,NA
"829",36,"Lansing","Lansing",NA,"Jan 9, 1902","$35,000","210 W. Shiawassee St.","Now part of Lansing Community College. Original pediment removed and upper part of building modified.","Michigan",NA,NA,NA
"830",37,"Lapeer","Lapeer",NA,"Apr 3, 1917","$13,750","921 W. Nepessing St.","","Michigan",NA,NA,NA
"831",38,"Ludington","Ludington",NA,"Jun 5, 1903","$15,000","217 E. Ludington Ave.","","Michigan",NA,NA,NA
"832",39,"Mancelona","Mancelona",NA,"Jan 5, 1916","$10,000","202 W. State St.","","Michigan",NA,NA,NA
"833",40,"Manistee","Manistee",NA,"Apr 26, 1902","$35,000","95 Maple St.","","Michigan",NA,NA,NA
"834",41,"Marlette","Marlette",NA,"Apr 16, 1918","$7,500","3116 Main St.","","Michigan",NA,NA,NA
"835",42,"Mendon","Mendon",NA,"Apr 11, 1905","$10,000","314 W. Main St.","","Michigan",NA,NA,NA
"836",43,"Midland","Midland",NA,"Feb 3, 1917","$12,500","Townsend St.","Closed in 1955","Michigan",NA,NA,NA
"837",44,"Mount Clemens","Mount Clemens",NA,"Mar 14, 1902","$17,000","125 Macomb St.42°35′59″N 82°52′49″W﻿ / ﻿42.599703°N 82.880389°W﻿ / 42.599703; -82.880389","","Michigan",NA,NA,NA
"838",45,"Newaygo","Newaygo",NA,"Dec 8, 1913","$5,000","45 State Rd.","","Michigan",NA,NA,NA
"839",46,"Niles","Niles",NA,"Jan 22, 1903","$15,000","321 E. Main St.","Now houses Chamber of Commerce","Michigan",NA,NA,NA
"840",47,"Owosso","Owosso",NA,"Apr 2, 1913","$20,000","502 W. Main St.","","Michigan",NA,NA,NA
"841",48,"Paw Paw","Paw Paw",NA,"Apr 3, 1917","$10,000","129 S. Kalamazoo St.","Closed in 1991","Michigan",NA,NA,NA
"842",49,"Petoskey","Petoskey",NA,"Apr 8, 1907","$12,500","451 E. Mitchell St.","","Michigan",NA,NA,NA
"843",50,"Port Huron","Port Huron",NA,"Feb 4, 1902","$45,000","1115 6th St.","Currently houses the Port Huron Museum","Michigan",NA,NA,NA
"844",51,"Portland","Portland",NA,"Mar 25, 1905","$10,000","334 Kent St.","","Michigan",NA,NA,NA
"845",52,"Sault Ste. Marie","Sault Ste. Marie",NA,"Feb 6, 1901","$30,000","315 Armory Pl.","Now school district offices","Michigan",NA,NA,NA
"846",53,"South Haven","South Haven",NA,"Dec 20, 1904","$12,500","600 Phoenix St.","Now an arts center","Michigan",NA,NA,NA
"847",54,"Sparta","Sparta",NA,"Mar 31, 1916","$10,000","80 N. Union St.","","Michigan",NA,NA,NA
"848",55,"St. Joseph","St. Joseph",NA,"Dec 27, 1902","$13,500","500 Main St.","Now houses an architectural firm","Michigan",NA,NA,NA
"849",56,"Stambaugh","Stambaugh",NA,"Apr 13, 1914","$12,500","601 Garfield Ave.","Now school district offices","Michigan",NA,NA,NA
"850",57,"Sturgis","Sturgis",NA,"Dec 13, 1907","$10,000","","Demolished, Ca. 1967","Michigan",NA,NA,NA
"851",58,"Tecumseh","Tecumseh",NA,"Feb 2, 1903","$10,000","304 W. Chicago Blvd.","Closed c.1962, now artist studios","Michigan",NA,NA,NA
"852",59,"Three Rivers","Three Rivers",NA,"Sep 5, 1902","$12,500","107 N. Main St.","Now an arts center","Michigan",NA,NA,NA
"853",60,"Traverse City","Traverse City",NA,"Apr 11, 1902","$20,000","322 6th St.","Now a history museum","Michigan",NA,NA,NA
"854",61,"Wyandotte","Wyandotte",NA,"Jan 23, 1911","$17,500","3139 Biddle Ave.","Closed 1940, demolished 1967","Michigan",NA,NA,NA
"855",1,"Aitkin","Aitkin",NA,"Apr 23, 1908","$6,500","121 2nd St NW46°31′59.31″N 93°42′33.55″W﻿ / ﻿46.5331417°N 93.7093194°W﻿ / 46.5331417; -93.7093194﻿ (Aitkin Carnegie Library)","1911 library, now an art center.[5]","Minnesota",NA,NA,NA
"856",2,"Albert Lea","Albert Lea",NA,"Apr 11, 1902","$13,000","146 College St W43°38′49.58″N 93°22′11.02″W﻿ / ﻿43.6471056°N 93.3697278°W﻿ / 43.6471056; -93.3697278﻿ (Albert Lea Carnegie Library)","Built 1903, now offices.","Minnesota",NA,NA,NA
"857",3,"Alexandria","Alexandria",NA,"Feb 2, 1903","$12,000","7th Ave W & Filmore St45°53′6.25″N 95°22′43.75″W﻿ / ﻿45.8850694°N 95.3788194°W﻿ / 45.8850694; -95.3788194﻿ (Alexandria Public Library)","Built 1903, now offices.","Minnesota",NA,NA,NA
"858",4,"Anoka","Anoka",NA,"Mar 27, 1903","$12,500","Demolished","Built 1904, razed 1965.","Minnesota",NA,NA,NA
"859",5,"Austin","Austin",NA,"Oct 3, 1901","$15,000","Demolished","Built 1904, razed 1996.","Minnesota",NA,NA,NA
"860",6,"Bemidji","Bemidji",NA,"Feb 10, 1908","$12,500","426 Bemidji Ave47°28′21.63″N 94°52′46.13″W﻿ / ﻿47.4726750°N 94.8794806°W﻿ / 47.4726750; -94.8794806﻿ (Bemidji Carnegie Library)","Built 1909, now an art gallery.","Minnesota",NA,NA,NA
"861",7,"Benson","Benson",NA,"Apr 3, 1912","$7,500","Demolished","Built 1913, razed 1994.","Minnesota",NA,NA,NA
"862",8,"Brainerd","Brainerd",NA,"Jan 6, 1903","$12,000","206 7th St N46°21′30.16″N 94°11′55.91″W﻿ / ﻿46.3583778°N 94.1988639°W﻿ / 46.3583778; -94.1988639﻿ (Brainerd Public Library)","Built 1904, now offices.","Minnesota",NA,NA,NA
"863",9,"Browns Valley","Browns Valley",NA,"Jan 31, 1914","$5,500","Broadway Ave & 2nd St45°35′42.13″N 96°49′51.03″W﻿ / ﻿45.5950361°N 96.8308417°W﻿ / 45.5950361; -96.8308417﻿ (Browns Valley Carnegie Public Library)","Built 1915.","Minnesota",NA,NA,NA
"864",10,"Chatfield","Chatfield",NA,"Jul 9, 1913","$6,000","314 Main St S43°50′40.86″N 92°11′14.44″W﻿ / ﻿43.8446833°N 92.1873444°W﻿ / 43.8446833; -92.1873444﻿ (Chatfield Public Library)","Built 1915, still houses public library.","Minnesota",NA,NA,NA
"865",11,"Coleraine","Coleraine",NA,"Dec 16, 1908","$15,000","203 Cole Ave47°17′14.03″N 93°25′27.45″W﻿ / ﻿47.2872306°N 93.4242917°W﻿ / 47.2872306; -93.4242917﻿ (Coleraine Carnegie Library)","Built 1910, still houses public library.","Minnesota",NA,NA,NA
"866",12,"Crookston","Crookston",NA,"Nov 25, 1903","$17,500","110 N. Ash St.47°46′25.43″N 96°36′17.52″W﻿ / ﻿47.7737306°N 96.6048667°W﻿ / 47.7737306; -96.6048667﻿ (Crookstone Carnegie Public Library)","Built 1907.","Minnesota",NA,NA,NA
"867",13,"Dawson","Dawson",NA,"Mar 31, 1916","$9,000","677 Pine St44°55′43.35″N 96°3′20.42″W﻿ / ﻿44.9287083°N 96.0556722°W﻿ / 44.9287083; -96.0556722﻿ (Dawson Carnegie Library)","Built 1918, now offices.","Minnesota",NA,NA,NA
"868",14,"Detroit Lakes","Detroit Lakes",NA,"Dec 23, 1911","$10,000","1000 Washington Ave46°48′56.27″N 95°50′45.01″W﻿ / ﻿46.8156306°N 95.8458361°W﻿ / 46.8156306; -95.8458361﻿ (Detroit Lakes Carnegie Library)","Built 1913, still houses public library.","Minnesota",NA,NA,NA
"869",15,"Duluth (Main)","Duluth",NA,"Oct 7, 1899","$75,000","101 2nd St W46°47′14.33″N 92°6′8.13″W﻿ / ﻿46.7873139°N 92.1022583°W﻿ / 46.7873139; -92.1022583﻿ (Duluth Public Library (Main))","Built 1902, closed 1980.","Minnesota",NA,NA,NA
"870",16,"Duluth Lincoln","Duluth",NA,"Oct 7, 1899","$30,000","2227 W 2nd St46°46′0.12″N 92°7′44.45″W﻿ / ﻿46.7667000°N 92.1290139°W﻿ / 46.7667000; -92.1290139﻿ (Lincoln Branch Library)","Built 1917, now an art institute.","Minnesota",NA,NA,NA
"871",17,"Duluth West Duluth","Duluth",NA,"Oct 7, 1899","$20,000","Demolished","Built 1912, razed 1992.","Minnesota",NA,NA,NA
"872",18,"Eveleth","Eveleth",NA,"Feb 20, 1911","$15,000","614 Pierce St47°27′44.69″N 92°32′8.4″W﻿ / ﻿47.4624139°N 92.535667°W﻿ / 47.4624139; -92.535667﻿ (Eveleth Carnegie Library)","Built 1914, still houses public library.","Minnesota",NA,NA,NA
"873",19,"Fairmont","Fairmont",NA,"Feb 12, 1903","$10,000","Demolished","Built 1904, razed 1968.","Minnesota",NA,NA,NA
"874",20,"Fergus Falls","Fergus Falls",NA,"Feb 20, 1904","$21,475","121 Union St N46°17′3.52″N 96°4′41.29″W﻿ / ﻿46.2843111°N 96.0781361°W﻿ / 46.2843111; -96.0781361﻿ (Fergus Falls Carnegie Library)","Built 1905, now offices.","Minnesota",NA,NA,NA
"875",21,"Glenwood","Glenwood",NA,"May 2, 1907","$10,000","108 1st Ave SE45°38′56.78″N 95°23′17.29″W﻿ / ﻿45.6491056°N 95.3881361°W﻿ / 45.6491056; -95.3881361﻿ (Glenwood Public Library)","Built 1908, still houses public library.","Minnesota",NA,NA,NA
"876",22,"Graceville","Graceville",NA,"May 21, 1913","$7,000","Demolished","Built 1915, razed 1999.","Minnesota",NA,NA,NA
"877",23,"Grand Rapids","Grand Rapids",NA,"Jan 19, 1905","$10,000","21 5th St NE","Built 1905, now offices.","Minnesota",NA,NA,NA
"878",24,"Hibbing","Hibbing",NA,"Apr 23, 1906","$25,000","Demolished","Built 1908, razed in the 1950s.","Minnesota",NA,NA,NA
"879",25,"Hutchinson","Hutchinson",NA,"Apr 13, 1903","$12,500","50 Hassan St SE44°53′30.06″N 94°22′5.5″W﻿ / ﻿44.8916833°N 94.368194°W﻿ / 44.8916833; -94.368194﻿ (Hutchinson Carnegie Library)","Built 1904, still houses public library.","Minnesota",NA,NA,NA
"880",26,"Janesville","Janesville",NA,"May 2, 1911","$5,000","102 2nd St W44°7′3″N 93°42′28.34″W﻿ / ﻿44.11750°N 93.7078722°W﻿ / 44.11750; -93.7078722﻿ (Janesville Free Public Library)","Built 1912, still houses public library.","Minnesota",NA,NA,NA
"881",27,"Lake City","Lake City",NA,"Nov 7, 1917","$13,000","Demolished","Built 1917, razed 1967.","Minnesota",NA,NA,NA
"882",28,"Litchfield","Litchfield",NA,"Feb 12, 1903","$10,000","201 Sibley Ave S45°7′29.12″N 94°31′40.13″W﻿ / ﻿45.1247556°N 94.5278139°W﻿ / 45.1247556; -94.5278139﻿ (Litchfield Carnegie Library)","Built 1904, now commercial space.","Minnesota",NA,NA,NA
"883",29,"Little Falls","Little Falls",NA,"Mar 14, 1902","$10,000","108 3rd St NE45°58′36.08″N 94°21′31.32″W﻿ / ﻿45.9766889°N 94.3587000°W﻿ / 45.9766889; -94.3587000﻿ (Little Falls Carnegie Library)","Built 1904, still houses public library.","Minnesota",NA,NA,NA
"884",30,"Luverne","Luverne",NA,"Mar 27, 1903","$10,000","205 Freeman Ave N43°39′19.86″N 96°12′35.69″W﻿ / ﻿43.6555167°N 96.2099139°W﻿ / 43.6555167; -96.2099139﻿ (Luverne Carnegie Library)","Built 1904, now an art center.","Minnesota",NA,NA,NA
"885",31,"Madison","Madison",NA,"Feb 1, 1905","$8,000","401 6th Ave45°0′44.9″N 96°11′36.58″W﻿ / ﻿45.012472°N 96.1934944°W﻿ / 45.012472; -96.1934944﻿ (Madison Carnegie Library)","Built 1905, still houses public library.","Minnesota",NA,NA,NA
"886",32,"Mankato","Mankato",NA,"Feb 6, 1901","$40,000","120 Broad Rd S44°9′56.86″N 94°0′3.56″W﻿ / ﻿44.1657944°N 94.0009889°W﻿ / 44.1657944; -94.0009889﻿ (Mankato Public Library and Reading Room)","Built 1902, now an art center.","Minnesota",NA,NA,NA
"887",33,"Mapleton","Mapleton",NA,"Mar 25, 1905","$5,000","104 1st Ave NE43°55′42.78″N 93°57′28.03″W﻿ / ﻿43.9285500°N 93.9577861°W﻿ / 43.9285500; -93.9577861﻿ (Mapleton Public Library)","Built 1910, still houses public library.","Minnesota",NA,NA,NA
"888",34,"Marshall","Marshall",NA,"Feb 12, 1903","$10,000","Demolished","Built 1904, razed 1966.","Minnesota",NA,NA,NA
"889",35,"Minneapolis Central Avenue","Minneapolis",NA,"Apr 3, 1912","$125,000","Demolished","Built 1915, razed 1971.","Minnesota",NA,NA,NA
"890",36,"Minneapolis Franklin","Minneapolis",NA,"Apr 3, 1912","—","1314 Franklin Ave E44°57′46.74″N 93°15′21.06″W﻿ / ﻿44.9629833°N 93.2558500°W﻿ / 44.9629833; -93.2558500﻿ (Franklin Community Library)","Built 1914, still houses public library.","Minnesota",NA,NA,NA
"891",37,"Minneapolis Hosmer","Minneapolis",NA,"Apr 3, 1912","—","347 36th St E44°56′15.05″N 93°16′13.97″W﻿ / ﻿44.9375139°N 93.2705472°W﻿ / 44.9375139; -93.2705472﻿ (Hosmer Community Library)","Built 1916, still houses public library.","Minnesota",NA,NA,NA
"892",38,"Minneapolis Sumner","Minneapolis",NA,"Apr 3, 1912","—","611 VanWhite Memorial Blvd44°59′5.18″N 93°17′40.43″W﻿ / ﻿44.9847722°N 93.2945639°W﻿ / 44.9847722; -93.2945639﻿ (Sumner Community Library)","Built 1915, still houses public library.","Minnesota",NA,NA,NA
"893",39,"Montevideo","Montevideo",NA,"Dec 16, 1905","$10,000","125 3rd St N44°56′47.3″N 95°43′24.44″W﻿ / ﻿44.946472°N 95.7234556°W﻿ / 44.946472; -95.7234556﻿ (Montevideo Carnegie Library)","Built 1906, now community space.","Minnesota",NA,NA,NA
"894",40,"Moorhead","Moorhead",NA,"Feb 29, 1904","$12,000","Demolished","Built 1906, razed 1963.","Minnesota",NA,NA,NA
"895",41,"Morris","Morris",NA,"Dec 4, 1903","$10,000","Nevada Ave & 6th St45°35′8.66″N 95°55′4.11″W﻿ / ﻿45.5857389°N 95.9178083°W﻿ / 45.5857389; -95.9178083﻿ (Morris Carnegie Library)","Built 1905, now the Stevens County Historical Society.","Minnesota",NA,NA,NA
"896",42,"Mountain Iron","Mountain Iron",NA,"Jan 14, 1914","$8,000","5742 Mountain Ave47°31′58.21″N 92°37′18.67″W﻿ / ﻿47.5328361°N 92.6218528°W﻿ / 47.5328361; -92.6218528﻿ (Mountain Iron Carnegie Library)","Built 1915, still houses public library.","Minnesota",NA,NA,NA
"897",43,"Northfield","Northfield",NA,"Jan 8, 1908","$10,000","210 Washington St44°27′27.57″N 93°9′32.48″W﻿ / ﻿44.4576583°N 93.1590222°W﻿ / 44.4576583; -93.1590222﻿ (Northfield Public Library)","Built 1910, still houses public library.","Minnesota",NA,NA,NA
"898",44,"Ortonville","Ortonville",NA,"Aug 11, 1913","$10,000","412 2nd St NW45°18′30.5″N 96°26′53.62″W﻿ / ﻿45.308472°N 96.4482278°W﻿ / 45.308472; -96.4482278﻿ (Ortonville Free Library)","Built 1915, still houses public library.","Minnesota",NA,NA,NA
"899",45,"Park Rapids","Park Rapids",NA,"May 8, 1908","$5,000","101 2nd St W46°55′16.9″N 95°3′32.01″W﻿ / ﻿46.921361°N 95.0588917°W﻿ / 46.921361; -95.0588917﻿ (Park Rapids Carnegie Library)","Open 1910–1994, now houses offices","Minnesota",NA,NA,NA
"900",46,"Pipestone","Pipestone",NA,"Mar 22, 1903","$10,000","217 Hiawatha Ave S43°59′54.81″N 96°19′2.47″W﻿ / ﻿43.9985583°N 96.3173528°W﻿ / 43.9985583; -96.3173528﻿ (Pipestone Public Library)","Built 1904, now a senior center.","Minnesota",NA,NA,NA
"901",47,"Preston","Preston",NA,"Dec 2, 1909","$8,000","101 Saint Paul St NW43°40′12.4″N 92°5′1.17″W﻿ / ﻿43.670111°N 92.0836583°W﻿ / 43.670111; -92.0836583﻿ (Preston Public Library)","Built 1909, still houses public library.","Minnesota",NA,NA,NA
"902",48,"Red Wing","Red Wing",NA,"Dec 14, 1901","$17,000","Demolished","Built 1903, razed 1968.","Minnesota",NA,NA,NA
"903",49,"Redwood Falls","Redwood Falls",NA,"Nov 25, 1903","$10,000","334 Jefferson St S44°32′20.24″N 95°6′59.78″W﻿ / ﻿44.5389556°N 95.1166056°W﻿ / 44.5389556; -95.1166056﻿ (Redwood Falls Carnegie Library)","Housed library 1904–1995, now private business offices.[6]","Minnesota",NA,NA,NA
"904",50,"St. Cloud","St. Cloud",NA,"Feb 16, 1901","$25,000","Demolished","Built 1902, razed 1981.","Minnesota",NA,NA,NA
"905",51,"St. Paul Arlington Hills","St. Paul",NA,"May 8, 1914","$75,000","1105 Greenbrier St44°58′28.23″N 93°4′16.89″W﻿ / ﻿44.9745083°N 93.0713583°W﻿ / 44.9745083; -93.0713583﻿ (Arlington Hills Library)","Housed public library 1917–2014.","Minnesota",NA,NA,NA
"906",52,"St. Paul Riverview","St. Paul",NA,"May 8, 1914","—","1 E George St44°55′47.69″N 93°5′5.01″W﻿ / ﻿44.9299139°N 93.0847250°W﻿ / 44.9299139; -93.0847250﻿ (Riverview Branch Library)","Built 1917, still houses public library.","Minnesota",NA,NA,NA
"907",53,"St. Paul St. Anthony Park","St. Paul",NA,"May 8, 1914","—","2245 Como Ave W44°58′51.56″N 93°11′36.88″W﻿ / ﻿44.9809889°N 93.1935778°W﻿ / 44.9809889; -93.1935778﻿ (St. Anthony Park Branch Library)","Built 1917, still houses public library.","Minnesota",NA,NA,NA
"908",54,"St. Peter","St. Peter",NA,"Jan 6, 1903","$10,000","429 Minnesota Ave S44°19′20.94″N 93°57′29.35″W﻿ / ﻿44.3224833°N 93.9581528°W﻿ / 44.3224833; -93.9581528﻿ (St. Peter Carnegie Library)","Built 1904, now offices and retail, including a halal market.","Minnesota",NA,NA,NA
"909",55,"Sauk Centre","Sauk Centre",NA,"Feb 12, 1903","$11,000","430 Main St S45°44′5.72″N 94°57′8.31″W﻿ / ﻿45.7349222°N 94.9523083°W﻿ / 45.7349222; -94.9523083﻿ (Sauk Centre Carnegie Library)","Built 1904, now a public library and art center.","Minnesota",NA,NA,NA
"910",56,"Spring Valley","Spring Valley",NA,"Mar 27, 1903","$8,000","201 Broadway Ave S43°41′12.19″N 92°23′26.5″W﻿ / ﻿43.6867194°N 92.390694°W﻿ / 43.6867194; -92.390694﻿ (Spring Valley Carnegie Library)","Built 1904, now city offices.","Minnesota",NA,NA,NA
"911",57,"Stillwater","Stillwater",NA,"Jul 3, 1901","$27,500","224 3rd St N45°3′27.12″N 92°48′37.12″W﻿ / ﻿45.0575333°N 92.8103111°W﻿ / 45.0575333; -92.8103111﻿ (Stillwater Carnegie Library)","Built 1902, still houses public library.","Minnesota",NA,NA,NA
"912",58,"Thief River Falls","Thief River Falls",NA,"Jan 31, 1914","$12,500","102 Main Ave S48°7′2.18″N 96°10′52.08″W﻿ / ﻿48.1172722°N 96.1811333°W﻿ / 48.1172722; -96.1811333﻿ (Thief River Falls Public Library)","Built 1914, now county offices.","Minnesota",NA,NA,NA
"913",59,"Two Harbors","Two Harbors",NA,"Feb 10, 1908","$15,000","320 Waterfront Dr47°1′21.19″N 91°40′14.32″W﻿ / ﻿47.0225528°N 91.6706444°W﻿ / 47.0225528; -91.6706444﻿ (Two Harbors Carnegie Library)","Built 1909, still houses public library.","Minnesota",NA,NA,NA
"914",60,"Virginia","Virginia",NA,"Dec 20, 1904","$10,000","Demolished","Built 1907, razed 1953.","Minnesota",NA,NA,NA
"915",61,"Walker","Walker",NA,"Apr 8, 1910","$6,500","Demolished","Built 1910, burned down 1976.","Minnesota",NA,NA,NA
"916",62,"White Bear","White Bear",NA,"Jul 13, 1912","$5,000","Demolished","Built 1914, razed 1973.","Minnesota",NA,NA,NA
"917",63,"Willmar","Willmar",NA,"Jan 13, 1903","$11,000","Demolished","Built 1904, razed 1967.","Minnesota",NA,NA,NA
"918",64,"Worthington","Worthington",NA,"Jun 1, 1903","$10,000","Demolished","Built 1905, razed 1966.","Minnesota",NA,NA,NA
"919",65,"Zumbrota","Zumbrota",NA,"Nov 27, 1906","$6,500","320 East Avenue44°17′38.19″N 92°40′5.49″W﻿ / ﻿44.2939417°N 92.6681917°W﻿ / 44.2939417; -92.6681917﻿ (Zumbrota Carnegie Library)","Built 1908, now an art center.","Minnesota",NA,NA,NA
"920",1,"Clarksdale","Clarksdale",NA,"Nov 21, 1911","$10,000","114 Delta Ave.","Still serving original function as Free Public Library","Mississippi",NA,NA,NA
"921",2,"Greenwood","Greenwood",NA,"Sep 29, 1911","$10,000","408 W. Washington St.","Closed in the 1970s","Mississippi",NA,NA,NA
"922",3,"Gulfport","Gulfport",NA,"May 15, 1916","$10,000","1300 24th Ave.","Building is currently operating as the Gulfport Galleria of Fine Art a 501(c)(3) organization.","Mississippi",NA,NA,NA
"923",4,"Houston","Houston",NA,"Feb 25, 1908","$6,000","105 W. Madison St.33°53′47″N 89°00′03″W﻿ / ﻿33.89639°N 89.00083°W﻿ / 33.89639; -89.00083﻿ (Houston)","Still serving original function as Free Public Library","Mississippi",NA,NA,NA
"924",5,"Jackson","Jackson",NA,"Jan 31, 1911","$25,000","","","Mississippi",NA,NA,NA
"925",6,"Meridian Carnegie Library (white)","Meridian",NA,"Dec 2, 1904","$30,000","628 25th Ave.32°21′50″N 88°42′11″W﻿ / ﻿32.36389°N 88.70306°W﻿ / 32.36389; -88.70306﻿ (Meridian)","Currently houses the Meridian Museum of Art","Mississippi",NA,NA,NA
"926",7,"Meridian Carnegie Library (black)","Meridian",NA,"Dec 2, 1904","$8,000","","","Mississippi",NA,NA,NA
"927",8,"Mound Bayou","Mound Bayou",NA,"Feb 13, 1909","$4,000","","Never used as a library building.[2]","Mississippi",NA,NA,NA
"928",9,"Okolona","Okolona",NA,"Mar 11, 1914","$7,500","321 W. Main St.","Still serving original function as Free Public Library","Mississippi",NA,NA,NA
"929",10,"Vicksburg","Vicksburg",NA,"Jul 23, 1914","$25,000","819 South St.32°20′53″N 90°52′51″W﻿ / ﻿32.34806°N 90.88083°W﻿ / 32.34806; -90.88083﻿ (Vicksburg)","Now houses city offices","Mississippi",NA,NA,NA
"930",11,"West Point","West Point",NA,"Jan 31, 1913","$10,000","510 E. Broad St.","Now houses community development organization","Mississippi",NA,NA,NA
"931",1,"Albany","Albany",NA,"Jun 2, 1903","$12,500","101 W. Clay St.","Continues to be used as a Public Library. (2014)","Missouri",NA,NA,NA
"932",2,"Aurora","Aurora",NA,"Mar 14, 1913","$9,000","202 Jefferson Ave.","Continues to be used as a Public Library. (2012)","Missouri",NA,NA,NA
"933",3,"Bolivar","Bolivar",NA,"Nov 3, 1913","$8,000","120 E. Jackson St.","No longer used as a Public Library. (2012)","Missouri",NA,NA,NA
"934",4,"Brookfield","Brookfield",NA,"Nov 9, 1916","$12,000","114 E. Wood St.","","Missouri",NA,NA,NA
"935",5,"Cape Girardeau","Cape Girardeau",NA,"Nov 9, 1916","$25,000","44 N. Lorimier St.","Open Apr 1, 1922. Closed in 1980, now county offices and courthouse annex. Main entrance obscured by building addition.","Missouri",NA,NA,NA
"936",6,"Carthage","Carthage",NA,"Apr 26, 1902","$25,000","321 W. 7th St.","Continues to be used as a Public Library. (2012)","Missouri",NA,NA,NA
"937",7,"Excelsior Springs","Excelsior Springs",NA,"Apr 28, 1913","$10,000","339 E. Broadway St.","No longer a public library. (2013)","Missouri",NA,NA,NA
"938",8,"Fayette","Fayette",NA,"May 21, 1913","$10,000","201 S. Main St.","Continues to be used as a public library. (2013)","Missouri",NA,NA,NA
"939",9,"Fulton","Fulton",NA,"Apr 8, 1911","$12,000","709 Market St.","","Missouri",NA,NA,NA
"940",10,"Huntsville","Huntsville",NA,"Apr 13, 1914","$10,000","102 E. Library St.","Continues to be used as a public library. (2013)","Missouri",NA,NA,NA
"941",11,"Jefferson City","Jefferson City",NA,"Jan 15, 1900","$25,000","210 Adams St.","","Missouri",NA,NA,NA
"942",12,"Joplin","Joplin",NA,"Jul 16, 1901","$60,000","Wall Ave. and 9th St.","Closed April 1981","Missouri",NA,NA,NA
"943",13,"Louisiana","Louisiana",NA,"Apr 11, 1902","$10,000","121 N. 3rd St.","","Missouri",NA,NA,NA
"944",14,"Marceline","Marceline",NA,"May 3, 1917","$12,500","119 E. California Ave.","","Missouri",NA,NA,NA
"945",15,"Marshfield","Marshfield",NA,"Apr 8, 1910","$5,000","219 S. Clay St.","Closed in 1995, now a museum.","Missouri",NA,NA,NA
"946",16,"Maryville","Maryville",NA,"Dec 29, 1903","$14,000","","Open 1905–1962","Missouri",NA,NA,NA
"947",17,"Mexico","Mexico",NA,"Apr 30, 1912","$12,500","149 N. Clark St.","Closed in 1968; old building moved from 316 N. Washington St. to new location December 1990; used as library again 1990-present (2014)","Missouri",NA,NA,NA
"948",18,"Moberly","Moberly",NA,"Apr 26, 1902","$20,000","111 N. 4th St.","Continues to be used as a public library. (2013)","Missouri",NA,NA,NA
"949",19,"Monroe City","Monroe City",NA,"May 15, 1916","$7,500","109 2nd St.","Combined City Hall and Library. (2013)","Missouri",NA,NA,NA
"950",20,"Nevada","Nevada",NA,"Jun 1, 1915","$17,500","225 W. Austin Blvd.","Now a tourism center. Building still standing (2013).","Missouri",NA,NA,NA
"951",21,"Sedalia","Sedalia",NA,"Oct 28, 1899","$50,000","311 W. 3rd St.","Being refurbished. (2013)","Missouri",NA,NA,NA
"952",22,"Shelbina","Shelbina",NA,"Nov 9, 1916","$10,000","102 N. Center St","Continues to be used as a public library. (2013)","Missouri",NA,NA,NA
"953",23,"Springfield","Springfield",NA,"Oct 4, 1901","$50,000","397 E. Central St.","Continues to be used as a Public Library. (2012)","Missouri",NA,NA,NA
"954",24,"St. Joseph Carnegie","St. Joseph",NA,"Feb 13, 1901","$50,000","316 Massachusetts St.","Continues to be used as a public library. (2013)","Missouri",NA,NA,NA
"955",25,"St. Joseph Washington Bluff","St. Joseph",NA,"Feb 13, 1901","—","1821 N. 3rd St.","Continues to be used as a public library. (2013)","Missouri",NA,NA,NA
"956",26,"St. Louis Central","St. Louis",NA,"Mar 12, 1901","$1,000,000","1301 Olive St.","Designed by Cass Gilbert and opened in 1912, renovated 2010–2012.","Missouri",NA,NA,NA
"957",27,"St. Louis Barr","St. Louis",NA,"Mar 12, 1901","—","1701 S. Jefferson Ave.","Continues to be used as a Public Library. (2013)","Missouri",NA,NA,NA
"958",28,"St. Louis Cabanne","St. Louis",NA,"Mar 12, 1901","—","1106 Union Blvd.","Continues to be used as a Public Library. (2013)","Missouri",NA,NA,NA
"959",29,"St. Louis Carondelet","St. Louis",NA,"Mar 12, 1901","—","6800 Michigan Ave.","Reopened 2012 after renovations, and continues to be used as a Public Library. (2013)","Missouri",NA,NA,NA
